OriginalWord,PerturbWord,OriginalLabel,Misclassify,LengthOrig,LengthPert,SentimentOrig,SentimentPert,SyllableOrig,SyllablePert,SubjectivityOrig,SubjectivityPert
+86,+27,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
9,21.00,Spam,Yes,1,5,0.0,0.0,1,1,0.0,0.0
3,3.,Spam,Yes,1,2,0.0,0.0,1,1,0.0,0.0
unknown,unspecified,Spam,Yes,7,11,-0.1,0.0,2,4,0.6,0.0
removed,deleted,Spam,Yes,7,7,0.0,0.0,2,2,0.0,0.0
showing,proving,Spam,Yes,7,7,0.0,0.0,2,2,0.0,0.0
per,into,Spam,Yes,3,4,0.0,0.0,1,2,0.0,0.0
label,emblem,Spam,Yes,5,6,0.0,0.0,2,2,0.0,0.0
manager,administrator,Spam,Yes,7,13,0.0,0.0,3,5,0.0,0.0
town,city,Spam,Yes,4,4,0.0,0.0,1,1,0.0,0.0
enter,penetrate,Spam,Yes,5,9,0.0,0.0,2,3,0.0,0.0
is,becomes,Spam,Yes,2,7,0.0,0.0,1,2,0.0,0.0
country,state,Spam,Yes,7,5,0.0,0.0,2,1,0.0,0.0
petroleum,gasoline,Spam,Yes,9,8,0.0,0.0,4,2,0.0,0.0
manufacture,fabrication,Spam,Yes,11,11,0.0,0.0,4,4,0.0,0.0
sent,dispatched,Spam,Yes,4,10,0.0,0.0,1,2,0.0,0.0
from,among,Spam,Yes,4,5,0.0,0.0,1,1,0.0,0.0
slave,slavey,Spam,Yes,5,6,0.0,0.0,1,1,0.0,0.0
slave,slavey,Spam,Yes,5,6,0.0,0.0,1,1,0.0,0.0
plan,regime,Spam,Yes,4,6,0.0,0.0,1,1,0.0,0.0
former,previous,Spam,Yes,6,8,0.0,-0.16666666666666666,2,3,0.0,0.16666666666666666
born,borned,Spam,Yes,4,6,0.0,0.0,1,1,0.0,0.0
survived,escaped,Spam,Yes,8,7,0.0,0.0,2,2,0.0,0.0
indigenous,autochthonous,Spam,Yes,10,13,0.0,0.0,3,2,0.0,0.0
many,large,Spam,Yes,4,5,0.5,0.21428571428571427,1,1,0.5,0.42857142857142855
accompanied,accompagnied,Spam,Yes,11,12,0.0,0.0,4,5,0.0,0.0
